millisecond,x,y,minute,second,zone_played
38000,35.85378761041057,113.68642050207282,0,38,attacking
38000,40.36053907414342,54.498233913638046,0,38,middle
38000,6.767853940336776,43.86107701782632,0,38,middle
38000,20.810379246112312,82.44963454308517,0,38,attacking
38000,37.74806498870245,78.94621246350557,0,38,middle
38000,43.29866371780328,91.6216387827672,0,38,attacking
38000,40.0438889974453,92.02468858206112,0,38,attacking
39000,15.292764530158596,22.03116859241284,0,39,defensive
39000,11.574085553310415,42.6113488566788,0,39,middle
39000,15.095193309320308,83.15591862016592,0,39,attacking
39000,45.447848224609395,66.54473691839601,0,39,middle
39000,33.35709930524344,46.25759985632031,0,39,middle
39000,39.37635772276223,53.3893254196373,0,39,middle
39000,46.61491953801689,91.90419676197466,0,39,attacking
39000,22.15452660103714,85.1132613096488,0,39,attacking
39000,42.90207001505309,90.91875776467785,0,39,attacking
39000,36.468718437862805,118.69522894353713,0,39,attacking
39000,37.06061992674932,79.42344623360535,0,39,middle
40000,15.755508221600632,22.733474891762953,0,40,defensive
40000,15.01361202168975,42.62719661277971,0,40,middle
40000,17.423373339033155,77.90184443138693,0,40,middle
40000,40.18774136802354,55.450067703394794,0,40,middle
40000,36.714212340881204,117.67988986443058,0,40,attacking
40000,49.04986045689288,88.87788626819595,0,40,attacking
40000,36.04984099856637,47.53126708936212,0,40,middle
40000,44.368713568427,67.66134754857143,0,40,middle
40000,36.24637814041336,77.16067899964435,0,40,middle
40000,45.603403884028985,98.16774631484942,0,40,attacking
41000,16.797065423623096,27.756426165824166,0,41,defensive
41000,17.74518715352685,43.644331122278345,0,41,middle
41000,37.08013872247335,115.68906980838702,0,41,attacking
41000,45.66344703713277,56.612198772924586,0,41,middle
41000,51.45727623455003,91.00750881911844,0,41,attacking
41000,38.05275880444547,46.50674721779704,0,41,middle
41000,47.279965472635055,88.71620476334924,0,41,attacking
41000,42.597975343790004,67.43021558316487,0,41,middle
